"terms","value","component","id"
"educ",0.372834826540166,"PC1","pca"
"ses",-0.388977705096611,"PC1","pca"
"visit",0.150776166627385,"PC1","pca"
"age",0.139974138109381,"PC1","pca"
"mmse",-0.0141182981064365,"PC1","pca"
"cdr",0.0533651385255501,"PC1","pca"
"e_tiv",0.548151849812615,"PC1","pca"
"n_wbv",-0.257722358481549,"PC1","pca"
"asf",-0.545367670868623,"PC1","pca"
"educ",-0.308845489926448,"PC2","pca"
"ses",0.257142811523344,"PC2","pca"
"visit",0.0754143516049869,"PC2","pca"
"age",0.173860350919129,"PC2","pca"
"mmse",-0.564300088060645,"PC2","pca"
"cdr",0.549024108079374,"PC2","pca"
"e_tiv",0.0254680775390982,"PC2","pca"
"n_wbv",-0.425324061241845,"PC2","pca"
"asf",-0.03414749041789,"PC2","pca"
"educ",0.0113755224040619,"PC3","pca"
"ses",0.0505001084271317,"PC3","pca"
"visit",-0.319433459290481,"PC3","pca"
"age",-0.714097951236571,"PC3","pca"
"mmse",-0.260342632189711,"PC3","pca"
"cdr",0.25994553867983,"PC3","pca"
"e_tiv",0.221675784626966,"PC3","pca"
"n_wbv",0.386215121171725,"PC3","pca"
"asf",-0.227364190535022,"PC3","pca"
"educ",-0.501941091796726,"PC4","pca"
"ses",0.524240115728992,"PC4","pca"
"visit",0.235583454732051,"PC4","pca"
"age",0.0404621711079591,"PC4","pca"
"mmse",0.225519168122211,"PC4","pca"
"cdr",-0.280597707877225,"PC4","pca"
"e_tiv",0.364428847630356,"PC4","pca"
"n_wbv",0.12984258510357,"PC4","pca"
"asf",-0.369904364997296,"PC4","pca"
"educ",0.0846427082559767,"PC5","pca"
"ses",-0.0998810264864539,"PC5","pca"
"visit",0.89782421651409,"PC5","pca"
"age",-0.258030517804173,"PC5","pca"
"mmse",-0.159426137391585,"PC5","pca"
"cdr",0.0828981350585668,"PC5","pca"
"e_tiv",-0.109108528879436,"PC5","pca"
"n_wbv",0.235648973558097,"PC5","pca"
"asf",0.102310393981593,"PC5","pca"
"educ",-0.0571004942716519,"PC6","pca"
"ses",-0.114919695137569,"PC6","pca"
"visit",-0.0452046761408999,"PC6","pca"
"age",0.555478368084054,"PC6","pca"
"mmse",0.0578906372341849,"PC6","pca"
"cdr",0.437763751034971,"PC6","pca"
"e_tiv",0.060100388150683,"PC6","pca"
"n_wbv",0.686910654812846,"PC6","pca"
"asf",-0.0498656707387963,"PC6","pca"
"educ",-0.332704278938955,"PC7","pca"
"ses",-0.250396154764851,"PC7","pca"
"visit",0.0595492621318482,"PC7","pca"
"age",-0.251646662782967,"PC7","pca"
"mmse",0.667535965282469,"PC7","pca"
"cdr",0.506382799938076,"PC7","pca"
"e_tiv",-0.0371514591555284,"PC7","pca"
"n_wbv",-0.23712725243811,"PC7","pca"
"asf",0.0100050566955068,"PC7","pca"
"educ",0.626159891680638,"PC8","pca"
"ses",0.647489054469578,"PC8","pca"
"visit",0.0483701877611145,"PC8","pca"
"age",-0.000711720028484124,"PC8","pca"
"mmse",0.297220868805588,"PC8","pca"
"cdr",0.307324546376206,"PC8","pca"
"e_tiv",-0.00436991005402837,"PC8","pca"
"n_wbv",-0.054698938013967,"PC8","pca"
"asf",0.0232774824779718,"PC8","pca"
"educ",-0.0184713736908975,"PC9","pca"
"ses",-0.00853778469593264,"PC9","pca"
"visit",0.00493435940556121,"PC9","pca"
"age",-0.0120096971218411,"PC9","pca"
"mmse",0.00404647812273335,"PC9","pca"
"cdr",0.00606750339386705,"PC9","pca"
"e_tiv",0.707118330505537,"PC9","pca"
"n_wbv",-0.00770830956059257,"PC9","pca"
"asf",0.706603420528731,"PC9","pca"
